Date,Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Rank
2022-11-14,010140,삼성중공업,KOSPI,,5480,2,-40,-0.72,5540,5560,5450,2519351,13881317580,4822400000000,880000000,STK,66
2022-11-14,018880,한온시스템,KOSPI,,9000,1,700,8.43,8390,9040,8340,2045272,18093513190,4804200000000,533800000,STK,67
2022-11-14,088980,맥쿼리인프라,KOSPI,,11500,1,50,0.44,11500,11600,11450,685704,7908911650,4655723790500,404845547,STK,68
2022-11-14,361610,SK아이이테크놀로지,KOSPI,,63800,2,-200,-0.31,64400,67000,63400,824183,53636624600,4548786369600,71297592,STK,69
2022-11-14,078930,GS,KOSPI,,48550,1,950,2.0,47550,48600,47500,190328,9179960800,4511041601900,92915378,STK,70
2022-11-14,011780,금호석유,KOSPI,,153500,1,5500,3.72,148000,155500,148000,146903,22553955500,4499746892000,29314312,STK,71
2022-11-14,047810,한국항공우주,KOSPI,,46050,2,-2250,-4.66,48300,48350,46000,1569577,73035748850,4488728677350,97475107,STK,72
2022-11-14,004020,현대제철,KOSPI,,33300,1,1450,4.55,32250,33900,31950,928415,30952097100,4443744640500,133445785,STK,73
2022-11-14,011790,SKC,KOSPI,,114500,1,3500,3.15,114000,117500,113000,435080,49947846500,4335920121000,37868298,STK,74
2022-11-14,000100,유한양행,KOSPI,,58000,2,-100,-0.17,58100,58200,57200,136969,7925023300,4247425608000,73231476,STK,75
2022-11-14,161390,한국타이어앤테크놀로지,KOSPI,,34250,1,800,2.39,33700,34550,33600,464076,15848125500,4242721113250,123875069,STK,76
2022-11-14,021240,코웨이,KOSPI,,57400,1,600,1.06,56900,58000,56400,176929,10152739800,4236098130600,73799619,STK,77
2022-11-14,006800,미래에셋증권,KOSPI,,6800,2,-10,-0.15,6800,6860,6750,720826,4911286890,4184151574400,615316408,STK,78
2022-11-14,028300,HLB,KOSDAQ,중견기업부,39050,1,350,0.9,38700,39550,37700,702024,27236294650,4174580933050,106903481,KSQ,79
2022-11-14,251270,넷마블,KOSPI,,48450,2,-2150,-4.25,49350,51300,48400,474735,23652660500,4164447171900,85953502,STK,80
2022-11-14,271560,오리온,KOSPI,,104500,1,1500,1.46,103000,105000,102500,98561,10272559000,4131525794000,39536132,STK,81
2022-11-14,005830,DB손해보험,KOSPI,,57700,2,-100,-0.17,58000,58000,56500,188980,10821336300,4085160000000,70800000,STK,82
